,Normal,Elevated,Fragile,Crisis
Normal,0.9783783783783784,0.020147420147420148,0.0009828009828009828,0.0004914004914004914
Elevated,0.056878306878306875,0.906084656084656,0.037037037037037035,0.0
Fragile,0.0,0.06593406593406594,0.8989010989010989,0.035164835164835165
Crisis,0.0,0.0,0.052795031055900624,0.9472049689440993
